"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,62,"CZE","Czech Republic",1,"Ústecký","CZ.UK",NA,"","Kraj","Region","","Aussig an der Elbe|Aussig|Ústí nad Labem"
2,62,"CZE","Czech Republic",2,"Jihoceský","CZ.CK",NA,"","Kraj","Region","","Budweis|Budejovický|Ceskobudejovický|South Bohemian"
3,62,"CZE","Czech Republic",3,"Jihomoravský","CZ.BK",NA,"","Kraj","Region","","Brünn|Jihomoravský Brnenský|South Moravian"
4,62,"CZE","Czech Republic",4,"Karlovarský","CZ.KK",NA,"","Kraj","Region","","Carlsbad| Karlovy Vary"
5,62,"CZE","Czech Republic",5,"Královéhradecký","CZ.HK",NA,"","Kraj","Region","","Königsgrätz| Hradec Králové"
6,62,"CZE","Czech Republic",6,"Kraj Vysocina","CZ.JK",NA,"","Kraj","Region","","Iglau|Jihlavský|Vysocina|Vysocina"
7,62,"CZE","Czech Republic",7,"Liberecký","CZ.LK",NA,"","Kraj","Region","","Reichenberg| Liberec"
8,62,"CZE","Czech Republic",8,"Moravskoslezský","CZ.VK",NA,"","Kraj","Region","","Mährisch-Ostrau|Mähren|Morava|Moravie|Mor via|Moravskoslezský|Ostravský| Moravian-Silesian"
9,62,"CZE","Czech Republic",9,"Olomoucký","CZ.OK",NA,"","Kraj","Region","","Olmütz|Olomouc"
10,62,"CZE","Czech Republic",10,"Pardubický","CZ.EK",NA,"","Kraj","Region","","Pardubitz|Pardubice"
11,62,"CZE","Czech Republic",11,"Plzenský","CZ.PK",NA,"","Kraj","Region","","Pilsen|Plzen"
12,62,"CZE","Czech Republic",12,"Prague","CZ.SK",NA,"","Kraj","Region","","Prag |Hlavní mesto Praha"
13,62,"CZE","Czech Republic",13,"Stredoceský","CZ.SK",NA,"","Kraj","Region","","Central Bohemian"
14,62,"CZE","Czech Republic",14,"Zlínský","CZ.ZK",NA,"","Kraj","Region","","Gottwaldov|Zlín"
